otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu251256	Gephyromantis ventrimaculatus	155640	410588	-	None	True	deleted from tree in reconciliation	Gephyromantis_ventrimaculatus	-	False
otu251257	Gephyromantis horridus	160744	127651	-	None	True	original	Gephyromantis_horridus	-	True
otu251259	Gephyromantis ambohitra	272453	321744	-	None	True	deleted from tree in reconciliation	Gephyromantis_ambohitra	-	False
otu251269	Gephyromantis boulengeri	687985	143433	-	None	True	deleted from tree in reconciliation	Gephyromantis_boulengeri	-	False
otu251274	Gephyromantis moseri	846788	321758	-	None	True	deleted from tree in reconciliation	Gephyromantis_moseri	-	False
otu251270	Gephyromantis leucomaculatus	324829	161782	-	None	True	deleted from tree in reconciliation	Gephyromantis_leucomaculatus	-	False
otu251271	Gephyromantis zavona	1005161	169032	-	None	True	deleted from tree in reconciliation	Gephyromantis_zavona	-	False
otu251272	Gephyromantis salegy	272477	321748	-	None	True	deleted from tree in reconciliation	Gephyromantis_salegy	-	False
otu251273	Gephyromantis tandroka	324835	161780	-	None	True	deleted from tree in reconciliation	Gephyromantis_tandroka	-	False
otu251276	Gephyromantis cornutus	157833	161779	-	None	True	original	Gephyromantis_cornutus	-	True
otu251275	Gephyromantis redimitus	426091	127653	-	None	True	original	Gephyromantis_redimitus	-	True
otu251277	Gephyromantis tschenki	324826	161783	-	None	True	deleted from tree in reconciliation	Gephyromantis_tschenki	-	False
otu251278	Gephyromantis granulatus	83279	143524	-	None	True	original	Gephyromantis_granulatus	-	True
otu251279	Gephyromantis pseudoasper	324832	161781	-	None	True	original	Gephyromantis_pseudoasper	-	True
otu251281	Gephyromantis plicifer	846785	321751	-	None	True	deleted from tree in reconciliation	Gephyromantis_plicifer	-	False
otu251280	Gephyromantis luteus	687976	143436	-	None	True	deleted from tree in reconciliation	Gephyromantis_luteus	-	False
otu251295	Boehmantis microtympanum	119486	321720	-	None	True	original	Boehmantis_microtympanum	-	True
otu251339	Boophis doulioti	910012	252280	-	None	True	original	Boophis_doulioti	-	True
otu251340	Boophis tephraeomystax	908341	68440	-	None	True	original	Boophis_tephraeomystax	-	True
otu251341	Boophis xerophilus	97826	128996	-	None	True	original	Boophis_xerophilus	-	True
otu251342	Boophis idae	910009	252281	-	None	True	original	Boophis_idae	-	True
otu251343	Boophis pauliani	479044	169027	-	None	True	original	Boophis_pauliani	-	True
otu251335	Boophis boehmei	910003	252284	-	None	True	original	Boophis_boehmei	-	True
otu251336	Boophis goudotii	479035	169023	-	None	True	original	Boophis_goudotii	-	True
otu251338	Boophis luteus	735530	127643	-	None	True	original	Boophis_luteus	-	True
otu251337	Boophis madagascariensis	735532	127644	-	None	True	deleted from tree in reconciliation	Boophis_madagascariensis	-	False
otu251331	Boophis occidentalis	371895	161861	-	None	True	original	Boophis_occidentalis	-	True
otu251332	Boophis albilabris	735528	127642	-	None	True	original	Boophis_albilabris	-	True
otu251329	Boophis sibilans	479040	169021	-	None	True	original	Boophis_sibilans	-	True
otu251330	Boophis microtympanum	689115	169024	-	None	True	original	Boophis_microtympanum	-	True
otu251327	Boophis viridis	371893	161860	-	None	True	original	Boophis_viridis	-	True
otu251328	Boophis rappiodes	352311	161858	-	None	True	original	Boophis_rappiodes	-	True
otu251333	Boophis vittatus	910001	252285	-	None	True	original	Boophis_vittatus	-	True
otu251334	Boophis marojezensis	479042	169026	-	None	True	original	Boophis_marojezensis	-	True
otu251345	Aglyptodactylus madagascariensis	858609	68424	-	None	True	original	Aglyptodactylus_madagascariensis	-	True
